西元日期,星期,是否放假,備註
20181214,五,0,
20181215,六,2,
20181216,日,2,
20181217,一,0,
20181218,二,0,
20181219,三,0,
20181220,四,0,
20181221,五,0,
20181222,六,0,調整上班
20181223,日,2,
20181224,一,0,
20181225,二,0,
20181226,三,0,
20181227,四,0,
20181228,五,0,
20181229,六,2,
20181230,日,2,
20181231,一,2,調整放假
